Category,Item Name,Item URL,Item URI,Attribute 1,Value 1,Schema URI 1,Attribute 2,Value 2,Schema URI 2,Attribute 3,Value 3,Schema URI 3,Attribute 4,Value 4,Schema URI 4,Attribute 5,Value 5,Schema URI 5
switch,"Nintendo
Switch with neon blue/neon red Joy-Con controllers",https://store.nintendo.nl/nl/consoles/nintendo-switch-consoles/nintendo-switch/nintendo-switch-met-neonblauweneonrode-joy-con-controllers-000000000010002207,000000000010002207,name,Nintendo Switch met neonblauwe/neonrode Joy-Con-controllers,https://schema.org/name,description,Nintendo Switch is een baanbrekend spelsysteem voor thuis. Voor het eerst kunnen spelers altijd en overal genieten van een volledige spelsysteemervaring thuis.,https://schema.org/description,sku,000000000010002207,https://schema.org/sku,price,299.99,https://store.nintendo.nl/nl/consoles/nintendo-switch-consoles/nintendo-switch/nintendo-switch-met-neonblauweneonrode-joy-con-controllers-000000000010002207,image,MNS/NOE/000000000010002207/1.1_ProductTile_NintendoSwitch_PackshotNeon_NOE,https://store.nintendo.nl/nl/consoles/nintendo-switch-consoles/nintendo-switch/nintendo-switch-met-neonblauweneonrode-joy-con-controllers-000000000010002207
switch,"Nintendo
Switch – OLED-Model Mario Edition (rood)",https://store.nintendo.nl/nl/nintendo-switch-oled-model-mario-edition-rood-000000000010011772,000000000010011772,name,Nintendo Switch – OLED-Model Mario Edition (rood),https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een levendig 7-inch OLED-scherm met levendige kleuren.",https://schema.org/description,sku,000000000010011772,https://schema.org/sku,price,349.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-mario-edition-rood-000000000010011772,image,be1osj2qqjsceeyz8ikz,https://store.nintendo.nl/nl/nintendo-switch-oled-model-mario-edition-rood-000000000010011772
switch,"Nintendo Switch
– OLED-model The Legend of Zelda: Tears of the Kingdom Edition:",https://store.nintendo.nl/nl/nintendo-switch-oled-model-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009866,000000000010009866,name,Nintendo Switch – OLED-model The Legend of Zelda: Tears of the Kingdom Edition ,https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een levendig 7-inch OLED-scherm met levendige kleuren.",https://schema.org/description,sku,000000000010009866,https://schema.org/sku,price,359.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009866,image,MNS/NOE/000000000010009866/1.1_ProductTile_Switch_NintendoSwitchOLEDTLoZTearsOfTheKingdom_enNOE,https://store.nintendo.nl/nl/nintendo-switch-oled-model-the-legend-of-zelda-tears-of-the-kingdom-edition-000000000010009866
switch,"Nintendo Switch
– OLED Model Pokémon Scarlet & Violet Edition",https://store.nintendo.nl/nl/nintendo-switch-oled-model-pokemon-scarlet-and-violet-edition-000000000010009862,000000000010009862,name,Nintendo Switch – OLED Model Pokémon Scarlet & Violet Edition,https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een levendig 7-inch OLED-scherm met levendige kleuren.",https://schema.org/description,sku,000000000010009862,https://schema.org/sku,price,359.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-pokemon-scarlet-and-violet-edition-000000000010009862,image,MNS/NOE/000000000010009862/1.1_ProductTile_Switch_NintendoSwitchOLEDPokemonScarletViolet_enNOE,https://store.nintendo.nl/nl/nintendo-switch-oled-model-pokemon-scarlet-and-violet-edition-000000000010009862
switch,"Nintendo
Switch™ – OLED-Model Splatoon 3 Edition",https://store.nintendo.nl/nl/nintendo-switch-oled-model-splatoon-3-edition-000000000010009642,000000000010009642,name,Nintendo Switch™ – OLED-Model Splatoon 3 Edition,https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een levendig 7-inch OLED-scherm met levendige kleuren.",https://schema.org/description,sku,000000000010009642,https://schema.org/sku,price,359.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-splatoon-3-edition-000000000010009642,image,MNS/NOE/000000000010009642/1.1_ProductTile_Switch_NintendoSwitchOLEDModelSplatoon3Edition_Packshot_enNOE,https://store.nintendo.nl/nl/nintendo-switch-oled-model-splatoon-3-edition-000000000010009642
switch,"Nintendo
Switch - OLED model (white)",https://store.nintendo.nl/nl/nintendo-switch-oled-model-wit-000000000010007454,000000000010007454,name,Nintendo Switch - OLED-model (wit),https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een levendig 7-inch OLED-scherm met levendige kleuren.",https://schema.org/description,sku,000000000010007454,https://schema.org/sku,price,349.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-wit-000000000010007454,image,MNS/NOE/000000000010007454/1.1_ProductTile_NintendoSwitchOLED(White)_Packshot_enNOE,https://store.nintendo.nl/nl/nintendo-switch-oled-model-wit-000000000010007454
switch,"Nintendo Switch
- OLED-model (neonblauw/neonrood)",https://store.nintendo.nl/nl/nintendo-switch-oled-model-neonblauwneonrood-000000000010007455,000000000010007455,name,Nintendo Switch - OLED-model (neonblauw/neonrood),https://schema.org/name,description,"Met de Nintendo Switch – OLED-model kun je altijd en overal genieten van je favoriete games, met een OLED-scherm van 7 inch met levendige kleuren.",https://schema.org/description,sku,000000000010007455,https://schema.org/sku,price,349.99,https://store.nintendo.nl/nl/nintendo-switch-oled-model-neonblauwneonrood-000000000010007455,image,MNS/NOE/000000000010007455/1.1_Product Tile_NintendoSwitchOLED(NeonBlueNeonRed)_Packshot,https://store.nintendo.nl/nl/nintendo-switch-oled-model-neonblauwneonrood-000000000010007455
switch_bundle,Nintendo Switch (neonblauw/neonrood) Animal Crossing: New Horizons-bundel,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-animal-crossing-new-horizons-bundel-B00403,B00403,name,Nintendo Switch (neonblauw/neonrood) Animal Crossing: New Horizons-bundel,https://schema.org/name,description,"Deze systeembundel bevat de Nintendo Switch met neonblauw/neonrood Joy-Con-controllers, de game Animal Crossing: New Horizons, en een Nintendo Switch-hardcase - Deluxe Elite Edition.",https://schema.org/description,sku,B00403,https://schema.org/sku,price,359.99,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-animal-crossing-new-horizons-bundel-B00403,image,hvnksevwrg9ugaabiw7g,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-animal-crossing-new-horizons-bundel-B00403
switch_bundle,Nintendo Switch -(neonblauw/neonrood) Luigi's Mansion 3-bundel,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-luigis-mansion-3-bundel-B00418,B00418,name,Nintendo Switch (neonblauw/neonrood) Luigi's Mansion 3-bundel,https://schema.org/name,description,"Deze Nintendo Switch met neonblauwe/neonrode Joy-Con-controllers wordt geleverd met een downloadcode voor Luigi's Mansion 3, plus een Nintendo Switch-hardcase - Deluxe Elite Edition.",https://schema.org/description,sku,B00418,https://schema.org/sku,price,359.99,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-luigis-mansion-3-bundel-B00418,image,vfutxuusir9z7ys197k6,https://store.nintendo.nl/nl/nintendo-switch-neonblauwneonrood-luigis-mansion-3-bundel-B00418
accessory,beenband,https://store.nintendo.nl/nl/beenband-000000000010001376,000000000010001376,name,Beenband,https://schema.org/name,description,Het beenbandaccessoire meet je acties in de echte wereld en zet ze om in bewegingen in de game.,https://schema.org/description,sku,000000000010001376,https://schema.org/sku,price,10.99,https://store.nintendo.nl/nl/beenband-000000000010001376,image,MNS/NOE/000000000010001376/1.1_ProductTile_Accessories_LegStrapAccessory_enNOE,https://store.nintendo.nl/nl/beenband-000000000010001376
